OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
10143,No Damage,5729,Brigadoon,Way,Santa Rosa,,LNU,Sonoma,Santa Rosa ,2020-09-27 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Non Combustible,,,660000,1979,5729 BRIGADOON WAY SANTA ROSA CA 95409,38.465792607279,-122.629173429752
15250,No Damage,1000,Eastridge,Drive,,,LNU,Napa,Napa,2020-08-16 00:00:00,,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,291342,1986,1000 EASTRIDGE DR NAPA CA 94558,38.5169311921448,-122.18325850734
13673,No Damage,1400,Schramsberg,Road,,,LNU,Napa,Calistoga,2020-09-27 00:00:00,Engine Company Actions,Single Family Residence Multi Story,Single Residence,,Asphalt,Unenclosed,Unscreened,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,>30,>50',9402211,,1400 SCHRAMSBERG RD CALISTOGA CA 94515,38.5509462008627,-122.536663498862
59067,Destroyed (>50%),19216,128,Hwy,Unincorporated,0,LNU,Sonoma,Franz Valley,2017-10-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unknown,No Vents,Combustible,Unknown, , , ,,,,351799,,19216 STATE HIGHWAY 128 CALISTOGA CA 94515,38.599783699913,-122.648908520025
121350,Destroyed (>50%),19936,Pacific Coast,Highway,Malibu,90265,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Wood,Combustible,No Fence,,,2296655,2003,"19936 PACIFIC COAST HWY, MALIBU, CA 90265",34.0367216,-118.6093407
83904,No Damage,563,Butterfly Valley ,Road,Quincy,95971,LMU,Plumas,Quincy ,2021-07-13 00:00:00,Combination of Actions,Single Family Residence Multi Story,Single Residence,0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,,<30',261019,,707 BUTTERFLY VALLEY RD QUINCY CA 95971,40.0037697188814,-120.969195603917
124074,No Damage,1020,Las Pulgas ,Road,Pacific Palisades,90272,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,,,290612,1953,"1020 LAS PULGAS RD, PACIFIC PALISADES, CA 90272",34.0516563,-118.5378626
46239,Destroyed (>50%),8165,Skyway ,,Paradise Northwest B,,BTU,Butte,Paradise ,2018-11-08 00:00:00,,Commercial Building Single Story,Nonresidential Commercial,,Metal,No Eaves,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,82791,1989,8165  SKYWAY     PARADISE CA 95969,39.7771049185077,-121.607378034449
74316,Destroyed (>50%),12220,Marsha,Road,Anderson,,SHU,Shasta,,2013-09-09 00:00:00,,Utility Misc Structure,Other Minor Structure,,,,,,, , , ,,,,0,,,40.4665459999808,-122.538671999785
17842,No Damage,7731,W Ranch ,Lane,,,LNU,Solano,Vacaville,2020-08-16 00:00:00,,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,549000,1985,7731 W RANCH LN VACAVILLE CA 95688,38.4404626616097,-122.012350592972
