OBJECTID,* Damage,"* Street Type (e.g. road, drive, lane, etc.)",* City,Zip Code,* CAL FIRE Unit,County,Incident Start Date,* Structure Type,Structure Category,* Roof Construction,* Eaves,Vent Screen Type,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Assessed Improved Value (parcel),Year Built (parcel),Latitude,Longitude,Has Vent,Has Vent Screen
10143,No Damage,Way,Santa Rosa,95409,LNU,Sonoma,2020-09-27,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood (Includes Composite),No Patio Cover/Carport,Non Combustible,660000,1979,38.465792607279,-122.629173429752,Has Vents,Screened
15250,No Damage,Drive,Unknown,94558,LNU,Napa,2020-08-16,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,291342,1986,38.5169311921448,-122.18325850734,Unknown,Unknown
13673,No Damage,Road,Unknown,94515,LNU,Napa,2020-09-27,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Unscreened,Wood,Single Pane,Wood (Includes Composite),No Deck/Porch,Combustible,No Fence,7510362,1965,38.5509462008627,-122.536663498862,Has Vents,Unscreened
59067,Destroyed (>50%),Highway,Unincorporated,94515,LNU,Sonoma,2017-10-08,Utility Misc Structure,Infrastructure & Utility Structures,Fire Resistant,Unknown,No Vents,Combustible,Unknown,Unknown,Unknown,Unknown,Unknown,351799,1965,38.599783699913,-122.648908520025,No Vents,Unscreened
121350,Destroyed (>50%),Highway,Malibu,90265,LAC,Los Angeles,2025-01-07,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Wood (Includes Composite),Combustible,No Fence,2296655,2003,34.0367216,-118.6093407,Unknown,Unknown
83904,No Damage,Road,Other,95971,LMU,Plumas,2021-07-13,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,Wood (Includes Composite),No Patio Cover/Carport,No Fence,261019,1965,40.0037697188814,-120.969195603917,Has Vents,Screened
124074,No Damage,Road,Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,290612,1953,34.0516563,-118.5378626,Has Vents,Screened
46239,Destroyed (>50%),Unknown,Paradise Northwest B,95969,BTU,Butte,2018-11-08,Commercial Building,Commercial & Mixed-Use Buildings,Metal,No Eaves,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,82791,1989,39.7771049185077,-121.607378034449,No Vents,Unscreened
74316,Destroyed (>50%),Road,Anderson,96047,SHU,Shasta,2013-09-09,Utility Misc Structure,Infrastructure & Utility Structures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1965,40.4665459999808,-122.538671999785,Unknown,Unknown
17842,No Damage,Lane,Unknown,95688,LNU,Solano,2020-08-16,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,549000,1985,38.4404626616097,-122.012350592972,Unknown,Unknown
