Unit,Unit Code,Region,Shape__Area,Shape__Length
San Bernardino Unit,BDU,Southern,"932,973,098,813.76","6,255,427.25"
Lassen-Modoc Unit,LMU,Northern,"325,452,067,568.45","2,927,808.08"
San Diego Unit,SDU,Southern,"243,508,087,467.96","2,571,568.10"
Kern County,KRN,Southern,"227,570,216,513.16","2,304,936.27"
Fresno-Kings Unit,FKU,Southern,"206,349,279,024.14","3,129,168.17"
Riverside Unit,RRU,Southern,"203,569,359,526.55","2,553,632.25"
Sonoma-Lake Napa Unit,LNU,Northern,"189,908,251,844.41","2,810,838.74"
Siskiyou Unit,SKU,Northern,"177,431,943,612.49","2,356,701.05"
Madera-Mariposa-Merced Unit,MMU,Southern,"174,491,192,085.24","2,704,928.52"
Shasta-Trinity Unit,SHU,Northern,"172,646,416,732.68","2,639,566.75"
Humboldt-Del Norte Unit,HUU,Northern,"144,083,188,712.71","2,502,701.61"
Tulare Unit,TUU,Southern,"135,006,541,754.71","1,730,602.91"
San Benito-Monterey Unit,BEU,Southern,"131,116,230,096.94","2,162,998.71"
Nevada-Yuba-Placer Unit,NEU,Northern,"130,702,763,537.53","2,076,014.88"
Tuolumne-Calaveras Unit,TCU,Southern,"124,990,539,938.72","2,180,568.75"
Tehama-Glenn Unit,TGU,Northern,"116,559,046,243.33","2,235,976.68"
Amador-Eldorado Unit,AEU,Northern,"116,219,681,579.05","2,362,070.40"
Los Angeles County,LAC,Southern,"113,799,715,116.93","2,469,148.97"
Santa Clara Unit,SCU,Northern,"111,405,313,427.43","1,857,022.97"
Mendocino Unit,MEU,Northern,"102,829,756,768.13","2,300,477.44"
San Luis Obispo Unit,SLU,Southern,"92,612,047,710.79","2,105,857.78"
Santa Barbara County,SBC,Southern,"76,518,160,791.41","2,487,272.94"
Ventura County,VNC,Southern,"51,734,980,813.66","1,289,100.28"
Butte Unit,BTU,Northern,"49,427,176,226.42","1,495,407.78"
San Mateo-Santa Cruz Unit,CZU,Northern,"30,763,509,275.04","1,505,228.81"
Orange County,ORC,Southern,"22,419,582,084.98","799,494.60"
Marin County,MRN,Northern,"16,966,462,789.10","834,533.06"
